school,county,type
ANDOVER ELEMENTARY SCHOOL,ORANGE,k12
ANDOVER MIDDLE SCHOOL,MIAMI-DADE,k12
ANDREA CASTILLA PREP K-8,MIAMI-DADE,k12
ANDREW A. ROBINSON ELEMENTARY SCHOOL,DUVAL,k12
ANDREW JACKSON HIGH SCHOOL,DUVAL,k12
ANDREW JACKSON MIDDLE SCHOOL,BREVARD,k12
ANDREWS HIGH SCHOOL,BROWARD,k12
ANGELS REACH ACADEMY FOR DIVERGENT LEARNERS,MIAMI-DADE,k12
ANN'S PRESCHOOL AND KINDERGARTEN,LEON,k12
ANNA MARIA ELEMENTARY SCHOOL,MANATEE,k12
ANNABEL C. PERRY PK-8,BROWARD,k12
ANNETTE P. EDWINS ELEMENTARY SCHOOL,OKALOOSA,k12
ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL,MANATEE,k12
ANNIE R. MORGAN ELEMENTARY SCHOOL,DUVAL,k12
ANNUNCIATION CATHOLIC ACADEMY,SEMINOLE,k12
ANNUNCIATION CATHOLIC SCHOOL,CLAY,k12
ANNUNCIATION SCHOOL,BROWARD,k12
ANONA ELEMENTARY SCHOOL,PINELLAS,k12
ANTHONY ELEMENTARY SCHOOL,MARION,k12
ANTIOCH ELEMENTARY SCHOOL,OKALOOSA,k12
APALACHEE ELEMENTARY SCHOOL,LEON,k12
APALACHICOLA BAY CHARTER SCHOOL,FRANKLIN,k12
APOLLO BEACH ELEMENTARY SCHOOL,HILLSBOROUGH,k12
APOLLO ELEMENTARY SCHOOL,BREVARD,k12
APOLLO MIDDLE SCHOOL,BROWARD,k12
APOPKA ELEMENTARY SCHOOL,ORANGE,k12
APOPKA HIGH,ORANGE,k12
APOPKA MIDDLE,ORANGE,k12
APPLE LEARNING CENTER,MIAMI-DADE,k12
APPLE TREE ACADEMY PALM CITY,MARTIN,k12
APPLE TREE MONTESSORI SCHOOL INC.,BROWARD,k12
ARBOR RIDGE K-8,ORANGE,k12
ARBOR SCHOOL OF CENTRAL FLORIDA,SEMINOLE,k12
ARC BROWARD INC.,BROWARD,k12
ARCADIA ACADEMY,MIAMI-DADE,k12
ARCHBISHOP COLEMAN F. CARROLL HIGH,MIAMI-DADE,k12
ARCHBISHOP EDWARD A. MCCARTHY HIGH SCHOOL,BROWARD,k12
ARCHCREEK ELEMENTARY SCHOOL,MIAMI-DADE,k12
ARCHER ELEMENTARY SCHOOL,ALACHUA,k12
ARCHIMEDEAN ACADEMY,MIAMI-DADE,k12
ARCHIMEDEAN MIDDLE CONSERVATORY,MIAMI-DADE,k12
ARCHIMEDEAN UPPER CONSERVATORY,MIAMI-DADE,k12
ARCOLA LAKE ELEMENTARY SCHOOL,MIAMI-DADE,k12
