FID,SchoolSystem,AltName,InstructionalDelivery,Address,Submission_Date,WeekOf,TotalPositive_lbl,TotalPositive_ALL,Subregion
16192,Attalla City,Attalla City School District,"In-person, virtual and blended","101 Case Ave Attalla, AL, 35954 - 3404",2021-03-09,11,Less than 5,519.0,Etowah County
16193,Auburn City,Auburn City School District,In-person and virtual,"855 E Samford Ave Auburn, AL, 36830 - 6146",2021-03-10,11,         5,519.0,Lee County
16196,Autauga County,Autauga County School District,"In-person, virtual and blended","153 W 4th St Prattville, AL, 36067 - 3011",2021-03-10,11,        20,519.0,Autauga County
16195,Baldwin County,Baldwin County School District,In-person and virtual,"2600 North Hand Ave Bay Minette, AL, 36507 - 4180",2021-03-09,11,        19,519.0,Baldwin County
16194,Barbour County,Barbour County School District,"In-person, virtual and blended","168 Western Bypass Clayton, AL, 36016 - 0429",2021-03-09,11,Less than 5,519.0,Barbour County
16198,Bessemer City,Bessemer City School District,Virtual and blended,"1621 5th Ave N Bessemer, AL, 35020 - 0000",2021-03-08,11,0,519.0,Jefferson County
16197,Bibb County,Bibb County School District,In-person and virtual,"721 Walnut Street Centreville, AL, 35042 - 2277",2021-03-10,11,Less than 5,519.0,Bibb County
16181,Birmingham City,Birmingham City School District,Virtual and blended,"2015 Park Place North Birmingham, AL, 35203 - 0007",2021-03-09,11,         5,519.0,Jefferson County
16199,Blount County,Blount County School District,"In-person, virtual and blended","204 2nd Ave East Oneonta, AL, 35121 - 0000",2021-03-09,11,         6,519.0,Blount County
16200,Boaz City,Boaz City School District,In-person and virtual,"126 Newt Parker Dr. Boaz, AL, 35957 - 0000",2021-03-09,11,0,519.0,Marshall County
16201,Brewton City,Brewton City School District,In-person and virtual,"811 Belleville Ave Brewton, AL, 36426 - 1754",2021-03-09,11,0,519.0,Escambia County
16316,Bullock County,Bullock County School District,Virtual,"108 Hardaway Avenue, Union Springs, AL 36089",2021-03-11,11,Unreported,,Bullock County
16314,Butler County,Butler County School District,In-person and virtual,"211 School Highlands Road Greenville, AL, 36037 - 1833",2021-03-09,11,         8,519.0,Butler County
16202,Calhoun County,Calhoun County School District,"In-person, virtual and blended","4400 McClellan Blvd Anniston, AL, 36206 - 2809",2021-03-09,11,        20,519.0,Calhoun County
16203,Chambers County,Chambers County School District,In-person and virtual,"1298  AVC Drive Lafayette, AL, 36862 - 0000",2021-03-09,11,Less than 5,519.0,Chambers County
16204,Cherokee County,Cherokee County School District,In-person and virtual,"130 E Main St Centre, AL, 35960 - 1599",2021-03-09,11,Less than 5,519.0,Cherokee County
16205,Chickasaw City,Chickasaw City School District,"In-person, virtual and blended","201 N Craft HWY Chickasaw, AL, 36611 - 0000",2021-03-09,11,0,519.0,Mobile County
16207,Chilton County,Chilton County School District,"In-person, virtual and blended","1705 Lay Dam Rd Clanton, AL, 35045 - 0000",2021-03-10,11,Less than 5,519.0,Chilton County
16206,Choctaw County,Choctaw County School District,"In-person, virtual and blended","107 Tom Orr Dr Butler, AL, 36904 - 3504",2021-03-09,11,Less than 5,519.0,Choctaw County
16211,Clarke County,Clarke County School District,In-person and virtual,"155 W Cobb St Grove Hill, AL, 36451 - 3097",2021-03-11,11,Unreported,,Clarke County
16209,Clay County,Clay County School District,In-person and blended,"62 Court Square Ashland, AL, 36251 - 4108",2021-03-09,11,Less than 5,519.0,Clay County
16210,Cleburne County,Cleburne County School District,"In-person, virtual and blended","141 Davenport Drive Heflin, AL, 36264 - 2207",2021-03-09,11,Less than 5,519.0,Cleburne County
16212,Coffee County,Coffee County School District,In-person and virtual,"400 Reddoch Hill Rd Elba, AL, 36323 - 1661",2021-03-09,11,Less than 5,519.0,Coffee County
16218,Colbert County,Colbert County School District,"In-person, virtual and blended","425 Highway 72 West Tuscumbia, AL, 35674 - 2412",2021-03-11,11,Unreported,,Colbert County
16182,Conecuh County,Conecuh County School District,In-person and virtual,"1455 Ted Bates Road Evergreen, AL, 36401 - 2843",2021-03-09,11,0,519.0,Conecuh County
16317,Coosa County,Coosa County School District,Virtual and blended,"2001 Nixburg Rd, Rockford, AL 35136",2021-03-09,11,0,519.0,Coosa County
