school	county	school_new	county_new	"##=IF(ISERROR(MATCH(F2,A:A,0)),""Not found"",""Found"")"
SUMTER PREP ACADEMY	SUMTER	SUMTER PREP ACADEMY	SUMTER	
THE VILLAGES CHARTER ELEMENTARY SCHOOL	SUMTER	THE VILLAGES CHARTER ELEMENTARY SCHOOL	SUMTER	
THE VILLAGES CHARTER HIGH SCHOOL	SUMTER	THE VILLAGES CHARTER HIGH SCHOOL	SUMTER	
VILLAGES CHARTER SCHOOL	SUMTER	VILLAGES CHARTER SCHOOL	SUMTER	
WEBSTER ELEMENTARY SCHOOL	SUMTER	WEBSTER ELEMENTARY SCHOOL	SUMTER	
WILDWOOD ELEMENTARY SCHOOL	SUMTER	WILDWOOD ELEMENTARY SCHOOL	SUMTER	
WILDWOOD MIDDLE/ HIGH SCHOOL	SUMTER	WILDWOOD MIDDLE/ HIGH SCHOOL	SUMTER	
BRANFORD ELEMENTARY SCHOOL	SUWANNEE	BRANFORD ELEMENTARY SCHOOL	SUWANNEE	
BRANFORD HIGH SCHOOL	SUWANNEE	BRANFORD HIGH SCHOOL	SUWANNEE	
HOLY CROSS CHRISTIAN ACADEMY INC.	SUWANNEE	HOLY CROSS CHRISTIAN ACADEMY INC	SUWANNEE	
MELODY CHRISTIAN ACADEMY	SUWANNEE	MELODY CHRISTIAN ACADEMY	SUWANNEE	
NEW GENERATION CHRISTIAN LIVE OAK	SUWANNEE	NEW GENERATION CHRISTIAN LIVE OAK	SUWANNEE	
RIVER OAK TECHNICAL COLLEGE	SUWANNEE	RIVER OAK TECHNICAL COLLEGE	SUWANNEE	
RIVER VALLEY TECHNICAL INSTITUTE	SUWANNEE	RIVER VALLEY TECHNICAL INSTITUTE	SUWANNEE	
RIVEROAK TECHNICAL COLLEGE	SUWANNEE	RIVEROAK TECHNICAL COLLEGE	SUWANNEE	
SUWANNEE DISTRICT OFFICE	SUWANNEE	SUWANNEE DISTRICT OFFICE	SUWANNEE	
SUWANNEE HIGH SCHOOL	SUWANNEE	SUWANNEE HIGH SCHOOL	SUWANNEE	
SUWANNEE MIDDLE SCHOOL	SUWANNEE	SUWANNEE MIDDLE SCHOOL	SUWANNEE	
SUWANNEE OPPORTUNITY SCHOOL	SUWANNEE	SUWANNEE OPPORTUNITY SCHOOL	SUWANNEE	
SUWANNEE PINEVIEW ELEMENTARY	SUWANNEE	SUWANNEE PINEVIEW ELEMENTARY SCHOOL	SUWANNEE	
SUWANNEE RIVERSIDE ELEMENTARY	SUWANNEE	SUWANNEE RIVERSIDE ELEMENTARY SCHOOL	SUWANNEE	
SUWANNEE SPRINGCREST ELEMENTARY	SUWANNEE	SUWANNEE SPRINGCREST ELEMENTARY SCHOOL	SUWANNEE	
TABERNACLE BAPTIST SCHOOLS	SUWANNEE	TABERNACLE BAPTIST SCHOOLS	SUWANNEE	
WESTWOOD CHRISTIAN SCHOOL	SUWANNEE	WESTWOOD CHRISTIAN SCHOOL	SUWANNEE	
BIG BEND TECHNICAL COLLEGE	TAYLOR	BIG BEND TECHNICAL COLLEGE	TAYLOR	
NEXT GENERATION	TAYLOR	NEXT GENERATION	TAYLOR	
POINT OF GRACE CHRISTIAN	TAYLOR	POINT OF GRACE CHRISTIAN SCHOOL	TAYLOR	
STEINHATCHEE SCHOOL	TAYLOR	STEINHATCHEE SCHOOL	TAYLOR	
TAYLOR COUNTY ACCELERATED SCHOOL	TAYLOR	TAYLOR COUNTY ACCELERATED SCHOOL	TAYLOR	
TAYLOR COUNTY ELEMENTARY SCHOOL	TAYLOR	TAYLOR COUNTY ELEMENTARY SCHOOL	TAYLOR	
TAYLOR COUNTY HIGH SCHOOL	TAYLOR	TAYLOR COUNTY HIGH SCHOOL	TAYLOR	
TAYLOR COUNTY MIDDLE SCHOOL	TAYLOR	TAYLOR COUNTY MIDDLE SCHOOL	TAYLOR	
TAYLOR COUNTY PRIMARY SCHOOL	TAYLOR	TAYLOR COUNTY PRIMARY SCHOOL	TAYLOR	
LAKE BUTLER ELEMENTARY SCHOOL	UNION	LAKE BUTLER ELEMENTARY SCHOOL	UNION	
LAKE BUTLER MIDDLE SCHOOL	UNION	LAKE BUTLER MIDDLE SCHOOL	UNION	
UNION COUNTY ADULT HIGH SCHOOL	UNION	UNION COUNTY ADULT HIGH SCHOOL	UNION	
UNION COUNTY HIGH SCHOOL	UNION	UNION COUNTY HIGH SCHOOL	UNION	
UNION DISTRICT OFFICE	UNION	UNION DISTRICT OFFICE	UNION	
1500 BISCAYNE BLVD	UNKNOWN			
1ST ACADEMY OF LEESBURG	UNKNOWN			
3451 EDGEWOOD ROAD	UNKNOWN			
42 NORTH	UNKNOWN			
ACADEMIR CHARTER SCHOOL OF MATH & SCIENCE	UNKNOWN	ACADEMIR CHARTER SCHOOL OF MATH & SCIENCE	MIAMI-DADE	
ACADEMIR CHARTER SCHOOL OF MATH AND SCIENCE	UNKNOWN	ACADEMIR CHARTER SCHOOL OF MATH & SCIENCE	MIAMI-DADE	
ACADEMY FOR NURSING AND HEALTH	UNKNOWN	ACADEMY FOR NURSING AND HEALTH OCCUPATIONS	PALM BEACH	
ACADEMY OF EXCELLENCE	UNKNOWN	ACADEMY OF EXCELLENCE	MIAMI-DADE	
ACADEMY SILVER PALMS	UNKNOWN	SOMERSET ACADEMY SILVER PALMS	MIAMI-DADE	
ACHIEVE CENTER AT RICHEY	UNKNOWN	ACHIEVE CENTER AT RICHEY	PASCO	
ADF AITWAY	UNKNOWN	ADF AIRWAYS MIAMI FLIGHT SCHOOL	MIAMI-DADE	
ADS AIRWAYS	UNKNOWN	ADF AIRWAYS MIAMI FLIGHT SCHOOL	MIAMI-DADE	
ADULT EDUCATION CENTER	UNKNOWN	ADULT EDUCATION CENTER	LEE	
AIM AVIATION INSTITUTE AND MAINTENANCE	UNKNOWN	AVIATION INSTITUTE OF MAINTENANCE	SEMINOLE	
AIRALA EYE INSTITUTE	UNKNOWN	AIRALA EYE INSTITUTE	MIAMI-DADE	
ALCO LEARNING CENTER	UNKNOWN	ALCO LEARNING CENTER	OSCEOLA	
ALCO POINCIANA	UNKNOWN	ALCO POINCIANA	OSCEOLA	
ALLEN NEASE HIGH SCHOOL	UNKNOWN	ALLEN D NEASE HIGH	ST. JOHNS	
ALONZO AND TRACY MOURNING	UNKNOWN	ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL	MIAMI-DADE	
ALPHA KAI OMEGA - CHAPTER MEETING AT LOCAL CHURCH	UNKNOWN	UNIVERSITY OF FLORIDA	ALACHUA	
ALPHA KAI OMEGA-CHAPTER MEETING AT LOCAL CHURCH	UNKNOWN	UNIVERSITY OF FLORIDA	ALACHUA	
AMBRIY RIDDLE AERONATUTICAL UNIVERSITY	UNKNOWN	EMBRY-RIDDLE AERONAUTICAL UNIVERSITY - DAYTONA BEACH	VOLUSIA	
APALACHEE	UNKNOWN	APALACHEE ELEMENTARY SCHOOL	LEON	
ARCHIMEDEAN ACADEMY	UNKNOWN	ARCHIMEDEAN ACADEMY	MIAMI-DADE	
ARCHIMEDEAN SCHOOL	UNKNOWN	ARCHIMEDEAN ACADEMY	MIAMI-DADE	
ARTHUR & POLLY CONSERVATORY	UNKNOWN	ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS	MIAMI-DADE	
ARTISTIC NAILS & BEAUTY ACADEMY	UNKNOWN	ARTISTIC NAILS & BEAUTY ACADEMY	HILLSBOROUGH	
ASBURY THEOLOGICAL SEMINARY SCHOOL	UNKNOWN	ASBURY CHRISTIAN SCHOOL	MIAMI-DADE	
ASSISTANT TEACHER / LEARNING LINKS SCHOOL	UNKNOWN	LEARNING LINKS SCHOOL HOUSE	MIAMI-DADE	
ATLANTIC INTERNATIONAL UNIVERSITY	UNKNOWN			
AUBURN UNIVERSITY	UNKNOWN			
AUTISM SCHOOL FOR LEARNING	UNKNOWN			
AVANT GARDE ACADEMY BROWARD	UNKNOWN	AVANT GARDE ACADEMY OF BROWARD	BROWARD	
AVEDA INSTITUTE	UNKNOWN	AVEDA INSTITUTE	BROWARD	
AVENTURA CITY OF EXCELLENT	UNKNOWN	AVENTURA CITY OF EXCELLENCE SCHOOL	MIAMI-DADE	
AVIATION INSTITUTE OF MAINTENANC	UNKNOWN	AVIATION INSTITUTE OF MAINTENANCE	SEMINOLE	
AVON PARK HIGH SCHOOL	UNKNOWN	AVON PARK HIGH SCHOOL	HIGHLANDS	
BAPTIST EARLY LEARNING CENTER	UNKNOWN	BAPTIST EARLY LEARNING CENTER	MIAMI-DADE	
BELEN	UNKNOWN	BELEN JESUIT PREPARATORY SCHOOL	MIAMI-DADE	
BEN HILL MIDDLE SCHOOL	UNKNOWN	BEN HILL MIDDLE SCHOOL	HILLSBOROUGH	
BENEVA LAKE HEALTHCARE	UNKNOWN	BENEVA LAKE HEALTHCARE	SARASOTA	
BENGAMLA	UNKNOWN	BEN GAMLA CHARTER SCHOOL	BROWARD	
BERRY UNIVERSITY	UNKNOWN	BARRY UNIVERSITY	MIAMI-DADE	
BETH JACOB HIGH SCHOOL	UNKNOWN	BETH JACOB HIGH SCHOOL INC	MIAMI-DADE	
BISCAYNE GARDEN ELEMENTARY SCHOOL	UNKNOWN	BISCAYNE GARDENS ELEMENTARY SCHOOL	MIAMI-DADE	
BLAKE HIGH SCHOOL	UNKNOWN	BLAKE HIGH SCHOOL	HILLSBOROUGH	
BLOOMINGDALE HIGH SCHOOL	UNKNOWN	BLOOMINGDALE HIGH SCHOOL	HILLSBOROUGH	
BOARD OF COUNTY COMMISSION	UNKNOWN			
BOOKER T. WASHINGTON SENIOR HIGH SCHOOL	UNKNOWN	BOOKER T. WASHINGTON SENIOR HIGH SCHOOL	MIAMI-DADE	
BREWSTER TECHNICAL COLLEGE	UNKNOWN	BREWSTER TECHNICAL COLLEGE	HILLSBOROUGH	
BRIDGE PREP OF GREATER MIAMI	UNKNOWN	BRIDGEPREP ACADEMY OF GREATER MIAMI	MIAMI-DADE	
BRIDGEPREP ACADEMY OF INTERAMERICAN	UNKNOWN	BRIDGEPREP ACADEMY OF INTERAMERICAN	MIAMI-DADE	
BRIGHAM ACADEMY	UNKNOWN	FRANK E. BRIGHAM ACADEMY	POLK	
BROOKER ES	UNKNOWN	BROOKER ELEMENTARY SCHOOL	HILLSBOROUGH	
BROTHER HIGH SCHOOL	UNKNOWN			
BROWARD - MIRAMAR HIGH SCHOOL	UNKNOWN	MIRAMAR HIGH SCHOOL	BROWARD	
BROWARD - NANA'S PRESCHOOL AND LEARNING CENTER	UNKNOWN	NANA'S PRESCHOOL AND LEARNING CENTER	BROWARD	
BROWARD - NORCREST ELEMENTARY SCHOOL	UNKNOWN	NORCREST ELEMENTARY SCHOOL	BROWARD	
BROWARD INSTITUTE OF PUBLIC SAFETY	UNKNOWN	BROWARD INSTITUTE OF PUBLIC SAFETY	BROWARD	
BROWN ACADEMY	UNKNOWN	BROWN ACADEMY	LEE	
BUIQUI AEROSPACE CORP.	UNKNOWN	BUIQUI AEROSPACE CORP.	OSCEOLA	
BUNCHE PARK ELEMENTARY SCHOOL	UNKNOWN	BUNCHE PARK ELEMENTARY SCHOOL	MIAMI-DADE	
BURNETT MIDDLE SCHOOL	UNKNOWN	BURNETT MIDDLE SCHOOL	HILLSBOROUGH	
BUS DRIVER	UNKNOWN			
CALVARY CHRISTIAN ACADEMY	UNKNOWN	CALVARY CHRISTIAN ACADEMY	ST. LUCIE	
CAMPBELL UNIVERSITY	UNKNOWN			
CANAL POINT ELEMENTARY	UNKNOWN	K. E. CUNNINGHAM/CANAL POINT ELEMENTARY SCHOOL	PALM BEACH	
CAPE CORAL TECHNICAL COLLEGE	UNKNOWN	CAPE CORAL TECHNICAL COLLEGE	LEE	
CARDINAL NEWMAN HIGH SCHOOL	UNKNOWN	CARDINAL NEWMAN HIGH SCHOOL	PALM BEACH	
CARRIE BRAZER CENTER FOR AUTISM	UNKNOWN	THE CARRIE BRAZER CENTER FOR AUTISM INC	MIAMI-DADE	
CENTER ACADEMY	UNKNOWN			
CENTRAL BAPTIST CHRISTIAN SCHOOL	UNKNOWN	CENTRAL BAPTIST CHRISTIAN SCHOOL	HILLSBOROUGH	
CHAMBERLAIN UNIVERSITY	UNKNOWN	CHAMBERLAIN UNIVERSITY	BROWARD	
CHARLES DREW MIDDLE SCHOOL	UNKNOWN	CHARLES DREW MIDDLE SCHOOL	BROWARD	
CHATMAN'S DAYCARE, INC	UNKNOWN	CHATMAN'S EARLY LEARNING CHRISTIAN ACADEMY	DUVAL	
CHILD ACADEMY	UNKNOWN			
CHILD DEVELOPMENT CENTER	UNKNOWN			
CHILDREN OF WOODBINE PRESCHOOL	UNKNOWN	CHILDREN OF WOODBINE PRESCHOOL	SANTA ROSA	
CHILDREN PARADISE	UNKNOWN	CHILDREN PARADISE	MIAMI-DADE	
CHILDREN'S MONTESSORI ACADEMY	UNKNOWN	CHILDREN'S MONTESSORI ACADEMY	BREVARD	
CITRUS ELEMANTRY SCHOOL	UNKNOWN	CITRUS ELEMANTARY SCHOOL	CITRUS	
COLBERT ELEMENTARY	UNKNOWN	COLBERT ELEMENTARY SCHOOL	BROWARD	
COLLEGE OF NURSING FLORIDA ATLANTIC UNIVERSITY	UNKNOWN	FLORIDA ATLANTIC UNIVERSITY	PALM BEACH	
COMPLIANCE SPECIALIST GRADE 1	UNKNOWN			
COMPLIANCE SPECIALIST, GRADE 1	UNKNOWN			
CONCHITA ESPINOZA ACADEMY	UNKNOWN	CONCHITA ESPINOZA ACADEMY	MIAMI-DADE	
CONCORDIA UNIVERSITY	UNKNOWN			
CONLEY	UNKNOWN	J MICHAEL CONLEY ELEMENTARY SCHOOL AT SOUTHWOOD	LEON	
COORDINATOR	UNKNOWN			
CORAL GABLES PREPARATORY ACADEMY	UNKNOWN	CORAL GABLES PREPARATORY ACADEMY	MIAMI-DADE	
CORTIVA INSTITUE	UNKNOWN	CORTIVA INSTITUTE	ORANGE	
COTTONDALE HIGH SCHOOL	UNKNOWN	COTTONDALE HIGH SCHOOL	JACKSON	
CRANBERRY ELEMENTARY SCHOOL	UNKNOWN	CRANBERRY ELEMENTARY SCHOOL	SARASOTA	
CREATIVA ACADEMY	UNKNOWN	CREATIVA ACADEMY	MIAMI-DADE	
CREATIVE MONTESSORI ACADEMY	UNKNOWN	CREATIVE MONTESSORI ACADEMY	PALM BEACH	
CRESTIVEW HIGH SCHOOL	UNKNOWN	CRESTIVEW HIGH SCHOOL	OKALOOSA	
CRISDA CHRISTIAN ACADEMY	UNKNOWN	CRISDA CHRISTIAN ACADEMY INC	MIAMI-DADE	
CRUZ INSTITUTE	UNKNOWN			
CRYSTAL ACADEMY PRIVATE SCHOOL	UNKNOWN	CRYSTAL ACADEMY PRIMARY SCHOOL CAPS INTERN	MIAMI-DADE	
CURRY COLLEGE	UNKNOWN			
CYPRESS SUITS B	UNKNOWN	UNIVERSITY OF SOUTH FLORIDA	HILLSBOROUGH	
DADE - CONCHITA ESPINOSA ACADEMY	UNKNOWN	CONCHITA ESPINOSA ACADEMY	MIAMI-DADE	
DADE - DISCOVER MONTESSORI ACADEMY	UNKNOWN	DISCOVER MONTESSORI ACADEMY	MIAMI-DADE	
DADE - FISHER ISLAND DAY SCHOOL	UNKNOWN	FISHER ISLAND DAY SCHOOL	MIAMI-DADE	
DADE - FLORIDA CHRISTIAN SCHOOL	UNKNOWN	FLORIDA CHRISTIAN SCHOOL	MIAMI-DADE	
DADE - GLADEVIEW CHRISTIAN SCHOOL	UNKNOWN	GLADEVIEW CHRISTIAN SCHOOL	MIAMI-DADE	
DADE - GULLIVER PREPARATORY	UNKNOWN	GULLIVER PREPARATORY	MIAMI-DADE	
DADE - IMMACULATA-LA SALLE HIGH SCHOOL	UNKNOWN	IMMACULATA-LA SALLE HIGH SCHOOL	MIAMI-DADE	
DADE - KENDALL CHRISTIAN	UNKNOWN	KENDALL CHRISTIAN	MIAMI-DADE	
DADE - KINGDOM ACADEMY III	UNKNOWN	KINGDOM ACADEMY III	MIAMI-DADE	
DADE - LA PROGRESIVA PRESBYTERIAN SCHOOL INC.	UNKNOWN	LA PROGRESIVA PRESBYTERIAN SCHOOL INC	MIAMI-DADE	
DADE - MASTERS PREPARATORY SCHOOL	UNKNOWN	MASTERS PREPARATORY SCHOOL	MIAMI-DADE	
DADE - MATER VIRTUAL ACADEMY	UNKNOWN	MATER VIRTUAL ACADEMY	MIAMI-DADE	
DADE - MIAMI CHRISTIAN	UNKNOWN	MIAMI CHRISTIAN	MIAMI-DADE	
DADE - MOTHER OF CHRIST CATHOLIC SCHOOL	UNKNOWN	MOTHER OF CHRIST CATHOLIC SCHOOL	MIAMI-DADE	
DADE - OUR LADY OF THE HOLY ROSARY-ST RICHARD CATH	UNKNOWN	OUR LADY OF THE HOLY ROSARY-ST RICHARD CATHOLIC	MIAMI-DADE	
DADE - OUR LADY OF THE HOLY ROSARY-ST RICHARD CATHOLIC	UNKNOWN	OUR LADY OF THE HOLY ROSARY-ST RICHARD CATHOLIC	MIAMI-DADE	
DADE - OUR LADY OF THE ROSARY SCHOOL	UNKNOWN	OUR LADY OF THE HOLY ROSARY-ST RICHARD CATHOLIC	MIAMI-DADE	
DADE - RABBI ALEXANDER S. GROSS HEBREW ACADEMY	UNKNOWN	RABBI ALEXANDER S. GROSS HEBREW ACADEMY	MIAMI-DADE	
DADE - REDLAND CHRISTIAN ACADEMY INC.	UNKNOWN	REDLAND CHRISTIAN ACADEMY INC	MIAMI-DADE	
DADE - SAINT AGNES ACADEMY	UNKNOWN	ST. AGNES ACADEMY	MIAMI-DADE	
DADE - SAINT BRENDAN ELEMENTARY SCHOOL	UNKNOWN	ST. BRENDAN ELEMENTARY SCHOOL	MIAMI-DADE	
DADE - SAINT BRENDAN HIGH SCHOOL	UNKNOWN	ST. BRENDAN HIGH SCHOOL	MIAMI-DADE	
DADE - SOUTH FLORIDA SCHOOL OF EXCELLENCE	UNKNOWN	SOUTH FLORIDA SCHOOL OF EXCELLENCE	MIAMI-DADE	
DADE - ST THOMAS THE APOSTLE	UNKNOWN	ST. THOMAS THE APOSTLE	MIAMI-DADE	
DADE - THE CARRIE BRAZER CENTER	UNKNOWN	THE CARRIE BRAZER CENTER FOR AUTISM INC	MIAMI-DADE	
DADE - THE CARRIE BRAZER CENTER FOR AUTISM INC.	UNKNOWN	THE CARRIE BRAZER CENTER FOR AUTISM INC	MIAMI-DADE	
DADE - THE CUSHMAN SCHOOL	UNKNOWN	THE CUSHMAN SCHOOL	MIAMI-DADE	
DADE - TOPS CHRISTIAN ACADEMY	UNKNOWN	TOPS CHRISTIAN ACADEMY	MIAMI-DADE	
DADE - WATCH ME GROW LEARNING CENTER II INC.	UNKNOWN	WATCH ME GROW LEARNING CENTER II INC	MIAMI-DADE	
DADE - WESTCHESTER ACADEMY AND LEARNING CENTER	UNKNOWN	WESTCHESTER ACADEMY AND LEARNING CENTER	MIAMI-DADE	
DADE - WESTWOOD CHRISTIAN SCHOOL	UNKNOWN	WESTWOOD CHRISTIAN SCHOOL	MIAMI-DADE	
DADE - YESHIVA ELEMENTARY	UNKNOWN	YESHIVA ELEMENTARY SCHOOL	MIAMI-DADE	
DADE - YESHIVA TORAS CHAIM	UNKNOWN	YESHIVA TORAS CHAIM	MIAMI-DADE	
DADE CHRISTIAN SCHOOL	UNKNOWN	DADE CHRISTIAN SCHOOL	MIAMI-DADE	
DADE COUNTY SCHOOL BOARD	UNKNOWN	DADE COUNTY SCHOOL BOARD	MIAMI-DADE	
DAVIE POSNA JEWISH SCHOOL	UNKNOWN	DAVID POSNACK SCHOOL IN DAVIE	BROWARD	
DAY COUNTY PUBLIC SCHOOL	UNKNOWN			
DAYTONA STATE COLLEGE	UNKNOWN	DAYTONA STATE COLLEGE	VOLUSIA	
DEANE BOZEMAN SCHOOL	UNKNOWN	DEANE BOZEMAN SCHOOL	BAY	
DECLINED	UNKNOWN			
DECLINED TO GIVE	UNKNOWN			
DEER PARK ELM.	UNKNOWN	DEER PARK ELEMENTARY SCHOOL	PASCO	
DEPARTMENT OF EXCEPTIONAL STUDENT EDUCATION	UNKNOWN			
DESTIN ELEMENTARY SCHOOL	UNKNOWN	DESTIN ELEMENTARY SCHOOL	OKALOOSA	
DID NOT PROVIDE	UNKNOWN			
DIVINE SAVIOR ACADEMY	UNKNOWN	DIVINE SAVIOR ACADEMY - DELRAY	PALM BEACH	
DIXIELAND ELEMENTARY SCHOOL	UNKNOWN	DIXIELAND ELEMENTARY SCHOOL	POLK	
DON ESTRIDGE HGH TECH MIDDLE SCHOOL	UNKNOWN	DON ESTRIDGE HIGH TECH MIDDLE SCHOOL	PALM BEACH	
DON GIUNTA MIDDLE SCHOOOL	UNKNOWN	GIUNTA MIDDLE SCHOOL	HILLSBOROUGH	
DORAL ACADEMY	UNKNOWN	DORAL ACADEMY	MIAMI-DADE	
DORAL ACADEMY PREP	UNKNOWN	DORAL ACADEMY	MIAMI-DADE	
DORMAN HALL	UNKNOWN	FLORIDA STATE UNIVERSITY	LEON	
DOWNTOWN DORAL CHARTER ELEMENTARY	UNKNOWN	DOWNTOWN DORAL CHARTER ELEMENTARY SCHOOL	MIAMI-DADE	
DOWNTOWN DORAL CHARTER ELEMENTARY SCHOOL	UNKNOWN	DOWNTOWN DORAL CHARTER ELEMENTARY SCHOOL	MIAMI-DADE	
DPT OF FOOD AND NUTRITION	UNKNOWN			
DR ROLANDO ESPINOSA K-8 CENTER	UNKNOWN	DR. ROLANDO ESPINOSA K-8 CENTER	MIAMI-DADE	
DRIVER/ CLERK	UNKNOWN			
DUVAL - DOUGLAS ANDERSON SCHOOL OF THE ARTS	UNKNOWN	DOUGLAS ANDERSON SCHOOL OF THE ARTS	DUVAL	
DUVAL - SANDALWOOD HIGH SCHOOL	UNKNOWN	SANDALWOOD HIGH SCHOOL	DUVAL	
DUVAL COUNTY PUBLIC SCHOOLS - KERNAN MIDDLE SCHOOL	UNKNOWN	KERNAN MIDDLE SCHOOL	DUVAL	
DUVAL COUNTY SCHOOL BOARD	UNKNOWN	DUVAL COUNTY SCHOOL BOARD	DUVAL	
EAST COAST MIGRANT HEADSTART PROJECT - LA FAMILIA CE	UNKNOWN	EAST COAST MIGRANT HEADSTART PROJECT - LA FAMILIA CENTER	POLK	
EAST COAST MIGRANT HEADSTART PROJECT - LA FAMILIA CEN	UNKNOWN	EAST COAST MIGRANT HEADSTART PROJECT - LA FAMILIA CENTER	POLK	
EAST LAKE ELEMENTART	UNKNOWN	EAST LAKE ELEMENTARY SCHOOL	OSCEOLA	
EASTER SEALS	UNKNOWN	EASTER SEALS	MANATEE	
EASTERN FLORIDA STATE COLLEGE	UNKNOWN	EASTERN FLORIDA STATE COLLEGE- COCOA CAMPUS	BREVARD	
EASTERSEALS SOUTH FLORIDA	UNKNOWN	EASTER SEALS ACADEMY	MIAMI-DADE	
EASTSIDE ELEMENTARY SCHOOL	UNKNOWN			
EDGAR L. PADGETT ELEMENTARY SCHOOL	UNKNOWN	EDGAR L. PADGETT ELEMENTARY SCHOOL	POLK	
EDWARD WATERS COLLEGE	UNKNOWN	EDWARD WATERS COLLEGE	DUVAL	
EPIPHANY CATHOLIC	UNKNOWN	EPIPHANY CATHOLIC SCHOOL	COLUMBIA	
EPIPHANY SCHOOL	UNKNOWN	EPIPHANY SCHOOL	MIAMI-DADE	
ERNEST WARD MIDDLE	UNKNOWN	ERNEST WARD MIDDLE SCHOOL	ESCAMBIA	
ERVING AND BEATRICE PESKOE K THROUGH 8 CENTER	UNKNOWN	IRVING & BEATRICE PESKOE K-8 CENTER	MIAMI-DADE	
ESCAMBIA - LIGHTHOUSE PRIVATE CHRISTIAN ACADEMY PRE	UNKNOWN	LIGHTHOUSE PRIVATE CHRISTIAN ACADEMY PREP	ESCAMBIA	
ESCAMBIA - LIGHTHOUSE PRIVATE CHRISTIAN ACADEMY PREP	UNKNOWN	LIGHTHOUSE PRIVATE CHRISTIAN ACADEMY PREP	ESCAMBIA	
ESCAMBIA - SACRED HEART CATHEDRAL SCHOOL	UNKNOWN	SACRED HEART CATHEDRAL SCHOOL	ESCAMBIA	
ESCAMBIA COUNTY SCHOOL DISTRICT	UNKNOWN	ESCAMBIA COUNTY SCHOOL DISTRICT	ESCAMBIA	
EUGENIA B. THOMAS K-8 CENTER	UNKNOWN	EUGENIA B. THOMAS K-8 CENTER	MIAMI-DADE	
EVERGLADES PREPARATORY ACADEMY	UNKNOWN	EVERGLADES PREPARATORY ACADEMY	PALM BEACH	
EXCELSIOR CHARTER ACADEMY	UNKNOWN	EXCELSIOR CHARTER ACADEMY	MIAMI-DADE	
FAMU DEVELOPMENTAL	UNKNOWN	FLORIDA A&M UNIVERSITY	LEON	
FCAA CHILDREN'S PLACE	UNKNOWN	CHILDREN'S PLACE LEARNING CENTER	MIAMI-DADE	
FERNANEINA BEACH MIDDLE SCHOOL	UNKNOWN	FERNANDINA BEACH MIDDLE SCHOOL	NASSAU	
FIRST ACADEMY	UNKNOWN	FIRST ACADEMY-LEESBURG	LAKE	
FIRST ACADEMY LEESBURG	UNKNOWN	FIRST ACADEMY-LEESBURG	LAKE	
FIRST BAPTIST ACADEMY OF JACKSONVILLE BATRAM	UNKNOWN	FIRST BAPTIST ACADEMY OF JACKSONVILLE	DUVAL	
FIRST CLASS LEARNING CENTER AT SHILOH CHURCH	UNKNOWN			
FIRST COAST TECHNICAL COLLEGE	UNKNOWN	FIRST COAST TECHNICAL COLLEGE	ST. JOHNS	
FIRST STEPS EDUCATION	UNKNOWN			
FIU DORMITORY LVN515	UNKNOWN	FLORIDA INTERNATIONAL UNIVERSITY	MIAMI-DADE	
FIU UNIVERSITY- BUILDING MANAGER	UNKNOWN	FLORIDA INTERNATIONAL UNIVERSITY	MIAMI-DADE	
FIU UNIVERSITY-BUILDING MANAGER	UNKNOWN	FLORIDA INTERNATIONAL UNIVERSITY	MIAMI-DADE	
FLETCHER HIGH SCHOOL	UNKNOWN	FLETCHER HIGH SCHOOL	DUVAL	
FLIGHT SAFETY AVIATION ORLANDO	UNKNOWN	FLIGHT SAFETY AVIATION ORLANDO	ORANGE	
FLOEIDA INTERNATION UNIVERSITY	UNKNOWN	FLORIDA INTERNATIONAL UNIVERSITY	MIAMI-DADE	
FLORIDA	UNKNOWN			
FLORIDA A&M UNIVERSITY	UNKNOWN	FLORIDA A&M UNIVERSITY	LEON	
FLORIDA AGRICULTURAL AND MECHANICAL UNIVERSITY	UNKNOWN	FLORIDA A&M UNIVERSITY	LEON	
FLORIDA ATLANTIC UNIVERSITY	UNKNOWN	FLORIDA ATLANTIC UNIVERSITY	PALM BEACH	
FLORIDA ATLANTIC UNIVERSITY - IT DEPARTMENT	UNKNOWN	FLORIDA ATLANTIC UNIVERSITY	PALM BEACH	
FLORIDA EDUCATION INSITUTE	UNKNOWN	FLORIDA EDUCATION INSITUTE	MIAMI-DADE	
FLORIDA GULF COAST UNIVERSITY	UNKNOWN	FLORIDA GULF COAST UNIVERSITY	LEE	
FLORIDA GULF COST UNIVERSITY	UNKNOWN	FLORIDA GULF COAST UNIVERSITY	LEE	
FLORIDA HIGH	UNKNOWN			
FLORIDA INTERNATIONAL UNIVERSITY	UNKNOWN	FLORIDA INTERNATIONAL UNIVERSITY	MIAMI-DADE	
FLORIDA MEMORIAL UNIVERSITY	UNKNOWN	FLORIDA MEMORIAL UNIVERSITY	MIAMI-DADE	
FLORIDA MEMORIAL UNIVESITY	UNKNOWN	FLORIDA MEMORIAL UNIVERSITY	MIAMI-DADE	
FLORIDA SCHOOL FOR THE DEAF AND BLIND	UNKNOWN	FLORIDA SCHOOL FOR DEAF AND BLIND	ST. JOHNS	
FLORIDA SOUTHERN COLLEGE	UNKNOWN	FLORIDA SOUTHERN COLLEGE	POLK	
