county,county_new,school,school_new
SARASOTA,SARASOTA,ALTA VISTA ELEMENTARY SCHOOL,ALTA VISTA ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,ALTAMONTE CHRISTIAN SCHOOL,ALTAMONTE CHRISTIAN SCHOOL
SEMINOLE,SEMINOLE,ALTAMONTE ELEMENTARY SCHOOL,ALTAMONTE ELEMENTARY SCHOOL
INDIAN RIVER,INDIAN RIVER,ALTERNATIVE CENTER FOR EDUCATION,ALTERNATIVE CENTER FOR EDUCATION
BROWARD,BROWARD,ALTERNATIVE EDUCATION FOUNDATION- WESTHAM,ALTERNATIVE EDUCATION FOUNDATION- WESTHAM
MIAMI-DADE,MIAMI-DADE,ALTERNATIVE OUTREACH PROGRAM,ALTERNATIVE OUTREACH PROGRAM
CALHOUN,CALHOUN,ALTHA PUBLIC SCHOOL,ALTHA PUBLIC SCHOOL
HILLSBOROUGH,HILLSBOROUGH,ALTIERUS CAREER COLLEGE,ALTIERUS CAREER COLLEGE
LAKE,LAKE,ALTOONA SCHOOL,ALTOONA SCHOOL
POLK,POLK,ALTURAS ELEMENTARY SCHOOL,ALTURAS ELEMENTARY SCHOOL
LEE,LEE,ALVA ACADEMY FREE SCHOOL INC.,ALVA ACADEMY FREE SCHOOL INC.
MIAMI-DADE,MIAMI-DADE,AMAZING LEARNING ACADEMY II,AMAZING LEARNING ACADEMY II
MARION,MARION,AMBLESIDE SCHOOL OF OCALA,AMBLESIDE SCHOOL OF OCALA
MIAMI-DADE,MIAMI-DADE,AMELIA EARHART ELEMENTARY SCHOOL,AMELIA EARHART ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,AMERICA'S CHRISTIAN FUTURE PRESCHOOL ELEM,AMERICA'S CHRISTIAN FUTURE PRESCHOOL ELEMEMTARY
MIAMI-DADE,MIAMI-DADE,AMERICA'S LITTLE LEADERS ACADEMY,AMERICA'S LITTLE LEADERS ACADEMY
MIAMI-DADE,MIAMI-DADE,AMERICAN ACADEMY OF PINECREST,AMERICAN ACADEMY OF PINECREST
MIAMI-DADE,MIAMI-DADE,AMERICAN CHRISTIAN SCHOOL ART CENTER,AMERICAN CHRISTIAN SCHOOL ART CENTER
OSCEOLA,OSCEOLA,AMERICAN CLASSICAL CHARTER ACADEMY,AMERICAN CLASSICAL CHARTER ACADEMY
PINELLAS,PINELLAS,AMERICAN COLLEGIATE ACADEMY LLC,AMERICAN COLLEGIATE ACADEMY LLC
BROWARD,BROWARD,AMERICAN HERITAGE SCHOOL,AMERICAN HERITAGE SCHOOL
PALM BEACH,PALM BEACH,AMERICAN HERITAGE SCHOOL OF BOCA/DELRAY,AMERICAN HERITAGE SCHOOL OF BOCA/DELRAY
BROWARD,BROWARD,AMERICAN HERITAGE SCHOOL OF PLANTATION,AMERICAN HERITAGE SCHOOL OF PLANTATION
MIAMI-DADE,MIAMI-DADE,AMERICAN HIGH SCHOOL ACADEMY INC.,AMERICAN HIGH SCHOOL ACADEMY INC.
PINELLAS,PINELLAS,"AMERICAN INSTITUTE OF BEAUTY, INC., ST. PETERSBURG CAMPUS","AMERICAN INSTITUTE OF BEAUTY, INC., ST. PETERSBURG CAMPUS"
MIAMI-DADE,MIAMI-DADE,AMERICAN MEDICAL ACADEMY,AMERICAN MEDICAL ACADEMY
BROWARD,BROWARD,AMERICAN PREPARATORY ACADEMY,AMERICAN PREPARATORY ACADEMY
MIAMI-DADE,MIAMI-DADE,AMERICAN SENIOR HIGH ADULT EDUCATION,AMERICAN SENIOR HIGH ADULT EDUCATION
MIAMI-DADE,MIAMI-DADE,AMERICAN SENIOR HIGH SCHOOL,AMERICAN SENIOR HIGH SCHOOL
BROWARD,BROWARD,AMERICAN UNIVERSITY OF THE CARIBBEAN,AMERICAN UNIVERSITY OF THE CARIBBEAN
HILLSBOROUGH,HILLSBOROUGH,AMERICAN YOUTH ACADEMY INC.,AMERICAN YOUTH ACADEMY INC.
HILLSBOROUGH,HILLSBOROUGH,AMI KIDS TAMPA,AMI KIDS TAMPA
HILLSBOROUGH,HILLSBOROUGH,AMI KIDS YES,AMI KIDS YES
ALACHUA,ALACHUA,AMIKIDS,AMIKIDS
ORANGE,ORANGE,AMIKIDS ORLANDO,AMIKIDS ORLANDO
VOLUSIA,VOLUSIA,AMIKIDS VOLUSIA,AMIKIDS VOLUSIA
LEON,LEON,AMOS P. GODBY HIGH SCHOOL,AMOS P. GODBY HIGH SCHOOL
LEON,LEON,AMOS P. GODBY HIGH SCHOOL (TALLAHASSEE),AMOS P. GODBY HIGH SCHOOL
PASCO,PASCO,ANCLOTE ELEMENTARY SCHOOL,ANCLOTE ELEMENTARY SCHOOL
PASCO,PASCO,ANCLOTE HIGH SCHOOL,ANCLOTE HIGH SCHOOL
HILLSBOROUGH,HILLSBOROUGH,ANDERSON ELEMENTARY SCHOOL,ANDERSON ELEMENTARY SCHOOL
ORANGE,ORANGE,ANDOVER ELEMENTARY,ANDOVER ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ANDOVER MIDDLE SCHOOL,ANDOVER MIDDLE SCHOOL
MIAMI-DADE,MIAMI-DADE,ANDREA CASTILLA PREP K-8,ANDREA CASTILLA PREP K-8
DUVAL,DUVAL,ANDREW A. ROBINSON ELEMENTARY SCHOOL,ANDREW A. ROBINSON ELEMENTARY SCHOOL
DUVAL,DUVAL,ANDREW JACKSON HIGH SCHOOL,ANDREW JACKSON HIGH SCHOOL
DUVAL,DUVAL,ANDREW JACKSON HIGH SCHOOLE,ANDREW JACKSON HIGH SCHOOL
BREVARD,BREVARD,ANDREW JACKSON MIDDLE SCHOOL,ANDREW JACKSON MIDDLE SCHOOL
